ano_mes;quant
1969-12;1
2001-01;76
2008-11;14
2008-12;17
2009-01;20
2009-02;95
2009-03;33
2009-04;14
2009-05;14
2009-06;22
2009-07;13
2009-08;14
2009-09;6
2009-10;7
2009-11;8
2009-12;2
2010-01;1
2010-02;5
2010-03;2
2010-04;72
2010-05;348
2010-06;265
2010-07;1254
2010-08;49
2010-09;49
2010-10;78
2010-11;50
2010-12;76
2011-01;115
2011-02;80
2011-03;62
2011-04;35
2011-05;60
2011-06;50
2011-07;65
2011-08;70
2011-09;66
2011-10;72
2011-11;67
2011-12;81
2012-01;77
2012-02;144
2012-03;89
2012-04;77
2012-05;100
2012-06;76
2012-07;84
2012-08;76
2012-09;52
2012-10;79
2012-11;81
2012-12;103
2013-01;165
2013-02;125
2013-03;161
2013-04;170
2013-05;198
2013-06;160
2013-07;161
2013-08;164
2013-09;235
2013-10;270
2013-11;166
2013-12;198
2014-01;387
2014-02;205
2014-03;130
2014-04;154
2014-05;99
2014-06;98
2014-07;122
2014-08;480
2014-09;130
2014-10;142
2014-11;142
2014-12;122
2015-01;200
2015-02;209
2015-03;220
2015-04;261
2015-05;297
2015-06;286
2015-07;325
2015-08;225
2015-09;363
2015-10;243
2015-11;362
2015-12;303
2016-01;426
2016-02;451
2016-03;468
2016-04;499
2016-05;441
2016-06;586
2016-07;592
2016-08;558
2016-09;447
2016-10;426
2016-11;444
2016-12;467
2017-01;622
2017-02;589
2017-03;682
2017-04;514
2017-05;637
2017-06;548
2017-07;637
2017-08;649
2017-09;620
2017-10;628
2017-11;520
2017-12;498
2018-01;496
2018-02;470
2018-03;664
2018-04;761
2018-05;770
2018-06;611
2018-07;589
2018-08;656
2018-09;612
2018-10;848
2018-11;701
2018-12;793
2019-01;1068
2019-02;2623
2019-03;939
2019-04;968
2019-05;985
2019-06;932
2019-07;1205
2019-08;1016
2019-09;1100
2019-10;1055
2019-11;1063
2019-12;907
2020-01;1176
2020-02;914
2020-03;1231
2020-04;1699
2020-05;1560
2020-06;1115
2020-07;1033
2020-08;950
2020-09;714
2020-10;707
2020-11;727
2020-12;530
2021-01;434
2021-02;420
2021-03;569
2021-04;542
2021-05;490
2021-06;444
2021-07;431
2021-08;604
2021-09;555
2021-10;788
2021-11;521
2021-12;578
2022-01;864
2022-02;701
2022-03;686
2022-04;583
2022-05;677
2022-06;550
2022-07;609
2022-08;722
2022-09;608
2022-10;672
2022-11;615
2022-12;630
2023-01;722
2023-02;647
2023-03;833
2023-04;702
2023-05;798
2023-06;707
2023-07;761
2023-08;847
2023-09;724
2023-10;719
2023-11;607
2023-12;697
2024-01;752
2024-02;737
2024-03;728
2024-04;936
2024-05;853
2024-06;810
2024-07;819
2024-08;803
2024-09;251
