ano_mes;quant
2010-05;86
2010-06;173
2010-07;14
2010-08;15
2010-09;9
2010-10;36
2010-11;67
2010-12;32
2011-01;51
2011-02;31
2011-03;29
2011-04;16
2011-05;20
2011-06;18
2011-07;24
2011-08;26
2011-09;34
2011-10;31
2011-11;22
2011-12;32
2012-01;26
2012-02;40
2012-03;31
2012-04;34
2012-05;34
2012-06;22
2012-07;30
2012-08;24
2012-09;8
2012-10;13
2012-11;34
2012-12;28
2013-01;36
2013-02;25
2013-03;31
2013-04;24
2013-05;43
2013-06;89
2013-07;35
2013-08;49
2013-09;28
2013-10;42
2013-11;20
2013-12;33
2014-01;35
2014-02;21
2014-03;23
2014-04;14
2014-05;17
2014-06;12
2014-07;57
2014-08;33
2014-09;13
2014-10;38
2014-11;21
2014-12;15
2015-01;33
2015-02;18
2015-03;37
2015-04;21
2015-05;23
2015-06;23
2015-07;25
2015-08;25
2015-09;17
2015-10;18
2015-11;15
2015-12;25
2016-01;24
2016-02;58
2016-03;27
2016-04;23
2016-05;31
2016-06;29
2016-07;52
2016-08;33
2016-09;27
2016-10;25
2016-11;26
2016-12;25
2017-01;235
2017-02;34
2017-03;58
2017-04;37
2017-05;54
2017-06;35
2017-07;43
2017-08;48
2017-09;42
2017-10;30
2017-11;49
2017-12;67
2018-01;78
2018-02;31
2018-03;60
2018-04;56
2018-05;30
2018-06;82
2018-07;45
2018-08;44
2018-09;59
2018-10;25
2018-11;37
2018-12;40
2019-01;35
2019-02;499
2019-03;146
2019-04;55
2019-05;889
2019-06;41
2019-07;49
2019-08;72
2019-09;89
2019-10;158
2019-11;128
2019-12;40
2020-01;59
2020-02;72
2020-03;88
2020-04;43
2020-05;92
2020-06;120
2020-07;67
2020-08;50
2020-09;72
2020-10;90
2020-11;56
2020-12;90
2021-01;84
2021-02;451
2021-03;339
2021-04;561
2021-05;209
2021-06;182
2021-07;220
2021-08;181
2021-09;176
2021-10;254
2021-11;322
2021-12;353
2022-01;385
2022-02;359
2022-03;426
2022-04;339
2022-05;250
2022-06;361
2022-07;531
2022-08;951
2022-09;609
2022-10;476
2022-11;871
2022-12;374
2023-01;371
2023-02;347
2023-03;426
2023-04;438
2023-05;588
2023-06;469
2023-07;417
2023-08;707
2023-09;888
2023-10;530
2023-11;543
2023-12;433
2024-01;432
2024-02;620
2024-03;749
2024-04;922
2024-05;666
2024-06;563
2024-07;568
2024-08;603
2024-09;173
