obs_cancelamento;data_cancelamento
Importado Cancelado do SGP;10/07/2014
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Importado Cancelado do SGP;27/07/2016
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Importado Cancelado do SGP;06/04/2016
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;11/02/2016
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;07/12/2015
Importado Cancelado do SGP;11/07/2014
Importado Cancelado do SGP;12/05/2011
Importado Cancelado do SGP;12/05/2011
Importado Cancelado do SGP;22/10/2019
Importado Cancelado do SGP;19/03/2019
Importado Cancelado do SGP;13/03/2019
CANCELAMENTOS DEVIDO FALTA DE PAGAMENTO DA TAXA;15/09/2020
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;24/02/2014
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;29/06/2018
Importado Cancelado do SGP;29/06/2018
Importado Cancelado do SGP;19/02/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;28/05/2019
Importado Cancelado do SGP;22/08/2019
Importado Cancelado do SGP;09/11/2010
Importado Cancelado do SGP;09/11/2010
Importado Cancelado do SGP;19/02/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;25/05/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;09/11/2010
Importado Cancelado do SGP;09/11/2010
CLIENTE SOLICITA CANCELAMENTO INFORMANDO INSATISFAÇÃO.↵OFERECIDO VISITA TÉCNICA, MAS O MESMO OPTA PELO CANCELAMENTO.↵CIENTE DO BOLETO DE JUNHO, E DO PRAZO DE ATÉ 3 MESES.↵GERADO O.S DE REMOÇÃO E TERMOS DE CANCELAMENTO.;14/05/2021
Importado Cancelado do SGP;04/04/2019
CLIENTE SOLICITOU CANCELAMENTO, INFORMANDO MUDANÇA DE ENDEREÇO.↵TENTATIVAS DE CONTATO COM O CLIENTE SEM SUCESSO.↵DEIXADO O BOLETO REF AO CONSUMO DO MÊS 04. GERADO O.S DE REMOÇÃO DE EQUIPAMENTO E TERMOS DE CANCELAMENTO.↵CLINETE TEM O PRAZO DE ATÉ 3 MESES PARA A REATIVAÇÃO SEM TAXA, SENDO PARA O MESMO ENDEREÇO DO CADASTRO.;28/04/2021
Importado Cancelado do SGP;18/02/2016
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/10/2016
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;28/05/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO SER FUNCIONÁRIA DE OUTRO PROVEDOR E TER O PONTO GRÁTIS.;04/06/2020
Importado Cancelado do SGP;13/06/2013
FILHA DA CLEINTE FOI AO ESCRITÓRIO COM A CERTIDÃO DE ÓBITO. SEM PENDÊNCIAS FINANCEIRAS, DEVOLVEU EQUIPAMENTO NO ESCRITÓRIO.;27/06/2024
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;28/05/2019
Importado Cancelado do SGP;19/02/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;09/11/2010
Importado Cancelado do SGP;09/11/2010
Importado Cancelado do SGP;27/10/2014
Importado Cancelado do SGP;27/10/2014
Importado Cancelado do SGP;27/10/2014
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;24/05/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;28/05/2019
Cliente cancelado, pois não foi encontrado os contratos e possui débitos antigo. AUTORIZADO POR - SAMARA.;28/05/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
Importado Cancelado do SGP;19/02/2019
CANCELADO POR INADIMPLÊNCIA;10/02/2020
Importado Cancelado do SGP;21/07/2016
Importado Cancelado do SGP;11/07/2014
